날짜,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2019-12-01,2304009.0,277685.0,277685.0,304322.0,217389.0,215051.0,2338.0,3525645.0,896841.0,2628804.0,2549155.0,79649.0,8975.0,453829.0,-399482.0,-94845.0,253678.0,200152.0,184120.0,12.05,9.44,8.69,6.28,34.12,28856.02,3166.0,17.63,37528.0,1.49,1416.0,2.54,44.73,5969782550.0
2020-12-01,2368070.0,359939.0,359939.0,363451.0,264078.0,260908.0,3170.0,3782357.0,1022877.0,2759480.0,2676703.0,82777.0,8975.0,652870.0,-536286.0,-83278.0,375920.0,276950.0,202174.0,15.2,11.15,9.98,7.23,37.07,30692.79,3841.0,21.09,39406.0,2.06,2994.0,3.7,77.95,5969782550.0
2021-12-01,2796048.0,516339.0,516339.0,533518.0,399074.0,392438.0,6637.0,4266212.0,1217212.0,3048999.0,2962377.0,86622.0,8975.0,651054.0,-330478.0,-239910.0,471221.0,179833.0,183921.0,18.47,14.27,13.92,9.92,39.92,33143.62,5777.0,13.55,43611.0,1.8,1444.0,1.84,25.0,5969782550.0
2022-12-01,3022314.0,433766.0,433766.0,464405.0,556541.0,547300.0,9241.0,4484245.0,936749.0,3547496.0,3451861.0,95635.0,8975.0,621813.0,-316028.0,-193900.0,494304.0,127509.0,103332.0,14.35,18.41,17.07,12.72,26.41,38144.29,8057.0,6.86,50817.0,1.09,1444.0,2.61,17.92,5969782550.0
2023-12-01,2589355.0,65670.0,65670.0,110063.0,154871.0,144734.0,10137.0,4559060.0,922281.0,3636779.0,3532338.0,104441.0,8975.0,441374.0,-169228.0,-85931.0,576113.0,-134739.0,126859.0,2.54,5.98,4.15,3.43,25.36,39114.28,2131.0,36.84,52002.0,1.51,1444.0,1.84,67.78,5969782550.0
2024-12-01,3145234.0,453213.0,,493249.0,414482.0,401921.0,,5025705.0,1034744.0,3990961.0,3879082.0,,8979.0,740945.0,-627835.0,-59016.0,532876.0,180447.0,,14.41,13.18,10.85,8.65,25.93,,5917.0,13.05,57107.0,1.35,1511.0,1.96,22.44,
2025-12-01,3526968.0,635962.0,,672194.0,544154.0,531538.0,,5517425.0,1073209.0,4444215.0,4323243.0,,8979.0,902003.0,-609260.0,-94521.0,566693.0,316601.0,,18.03,15.43,12.96,10.32,24.15,,7825.0,9.87,63646.0,1.21,1441.0,1.87,16.18,
2026-12-01,3759536.0,657757.0,,708365.0,585796.0,565030.0,,6043570.0,1106639.0,4936931.0,4794572.0,,8978.0,978641.0,-624991.0,-83588.0,556887.0,397608.0,,17.5,15.58,12.39,10.13,22.42,,8318.0,9.28,70584.0,1.09,1460.0,1.89,15.42,
