날짜,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,292.0,14.0,14.0,18.0,10.0,10.0,,2136.0,215.0,1921.0,1921.0,,106.0,12.0,-281.0,-1.0,6.0,7.0,32.0,4.88,3.28,,,11.19,1711.28,550.0,15.27,18122.0,0.46,,,0.0,10611215.0
2023-12-01,1688.0,-41.0,-41.0,11.0,9.0,9.0,,2199.0,280.0,1919.0,1919.0,,106.0,64.0,-521.0,50.0,62.0,2.0,108.0,-2.41,0.51,0.45,0.4,14.59,1709.02,81.0,87.43,18099.0,0.39,,,,10611215.0
2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
