날짜,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,,0.0,0.0,0.0,0.0,0.0,0.0,123.0,16.0,107.0,107.0,,5.0,0.0,-103.0,123.0,,,15.0,,,,,15.26,1896.65,-107.0,,1997.0,1.01,,,0.0,5360000.0
2023-12-01,,0.0,0.0,3.0,3.0,3.0,0.0,127.0,17.0,110.0,110.0,,5.0,4.0,-4.0,0.0,,,16.0,,,2.69,2.33,15.51,1951.06,54.0,38.6,2051.0,1.02,,,,5360000.0
2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
