날짜,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,326000.0
2022-12-01,,0.0,0.0,1.0,1.0,1.0,0.0,149.0,28.0,122.0,122.0,,6.0,0.0,-117.0,115.0,,,27.0,,,,,22.7,1870.42,12.0,176.6,1970.0,1.03,0.0,0.0,0.0,6176000.0
2023-12-01,,-1.0,-1.0,2.0,2.0,2.0,0.0,152.0,29.0,124.0,124.0,,6.0,2.0,-22.0,0.0,,,27.0,,,1.7,1.39,23.11,1904.37,34.0,63.59,2004.0,1.08,0.0,0.0,,6176000.0
2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
