날짜,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,13.0,15.0,15.0,,1.0,0.0,0.0,14.0,,,13.0,,,,,86.86,957.47,-48.0,,1057.0,0.0,0.0,,,1410000.0
2022-12-01,,0.0,0.0,1.0,1.0,1.0,0.0,147.0,14.0,134.0,134.0,,7.0,0.0,-141.0,118.0,,,13.0,,,1.16,0.98,10.2,1705.1,13.0,154.93,1805.0,1.12,0.0,0.0,0.0,7410000.0
2023-12-01,,0.0,0.0,4.0,3.0,3.0,0.0,151.0,14.0,137.0,137.0,,7.0,2.0,20.0,0.0,,,13.0,,,2.42,2.19,10.54,1749.33,44.0,47.16,1849.0,1.13,0.0,0.0,,7410000.0
2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
