날짜,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,3.0,3.0,,0.0,0.0,0.0,13.0,,,11.0,,,,,335.25,1395.0,-36.0,,1495.0,0.0,0.0,,0.0,230000.0
2022-12-01,,-1.0,-1.0,0.0,0.0,0.0,0.0,78.0,12.0,66.0,66.0,,3.0,-1.0,-64.0,62.0,,,11.0,,,0.24,0.18,17.86,1822.37,3.0,653.39,1922.0,1.05,0.0,0.0,0.0,3430000.0
2023-12-01,,0.0,0.0,1.0,1.0,1.0,0.0,79.0,12.0,66.0,66.0,,3.0,0.0,0.0,0.0,,,12.0,,,0.81,0.69,18.41,1838.03,16.0,136.27,1938.0,1.1,0.0,0.0,,3430000.0
2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
