날짜,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,,0.0,0.0,0.0,0.0,0.0,0.0,79.0,11.0,68.0,68.0,,3.0,0.0,-75.0,78.0,,,10.0,,,,,15.45,1866.37,-4.0,,1966.0,1.04,,,0.0,3460000.0
2023-12-01,,0.0,0.0,3.0,2.0,2.0,0.0,81.0,11.0,70.0,70.0,,3.0,3.0,7.0,0.0,,,10.0,,,3.34,2.89,15.74,1933.14,67.0,33.32,2033.0,1.09,,,,3460000.0
2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
