날짜,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-01,283.0,18.0,18.0,15.0,14.0,14.0,,739.0,435.0,304.0,304.0,,179.0,5.0,-90.0,114.0,87.0,-82.0,290.0,6.52,5.08,,,142.89,8.02,600.0,20.56,4260.0,2.89,,,0.0,7171032.0
2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
