날짜,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,,0.0,0.0,0.0,0.0,0.0,0.0,98.0,15.0,83.0,83.0,,4.0,0.0,-80.0,98.0,,,14.0,,,,,18.27,1874.49,-78.0,,1974.0,1.03,,,0.0,4210000.0
2023-12-01,,0.0,0.0,3.0,2.0,2.0,0.0,101.0,16.0,85.0,85.0,,4.0,3.0,-3.0,0.0,,,15.0,,,2.79,2.35,18.43,1930.27,56.0,39.98,2030.0,1.1,,,,4210000.0
2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
