날짜,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,,0.0,0.0,0.0,0.0,0.0,0.0,80.0,7.0,73.0,73.0,,4.0,0.0,-70.0,79.0,,,6.0,,,,,9.23,1857.87,40.0,51.28,1958.0,1.06,0.0,0.0,0.0,3720000.0
2023-12-01,,-1.0,-1.0,1.0,1.0,1.0,0.0,81.0,7.0,74.0,74.0,,4.0,1.0,-2.0,0.0,,,7.0,,,1.27,1.16,9.5,1882.93,25.0,89.37,1983.0,1.13,0.0,0.0,,3720000.0
2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
