날짜,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2021-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-01,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,600000.0
2023-04-01,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,131.0,2.55,,70600000.0
2023-10-01,233.0,124.0,124.0,28.0,28.0,28.0,,7104.0,3654.0,3450.0,3450.0,,353.0,75.0,74.0,-93.0,,75.0,3272.0,53.21,11.95,1.61,0.78,105.9,877.38,39.0,129.2,4887.0,1.04,158.0,3.1,401.04,70600000.0
2024-04-01,228.0,130.0,130.0,32.0,32.0,32.0,,7125.0,3754.0,3371.0,3371.0,,353.0,72.0,-89.0,-12.0,,72.0,3373.0,56.98,14.05,,,111.38,854.86,45.0,112.14,4774.0,1.07,157.0,3.08,345.9,70600000.0
2024-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
